text,sentimen
cina lebih jangkau   perlu nilai kualitas mesin tahan semua gerak   baterai kayak anak lebih banyak plastik banding,netral
beli jtan   dpt bbm   luas lega nyaman banyak fitur   harga segitu waduh amit amit,negatif
ngebacot apa ni orang,negatif
  koruptor hukum mati juta beli,netral
lebih untung rumah pindah panel surya masyarakat   minat,positif
nunggu usia taun baru brani beli   sekarang sama kyk beli karung,negatif
laku harga terlalu mahal,positif
konyol sekali cara paksa rakyat ada jl bayar padahal cara     lebih baiak banyak,negatif
iya usaha,negatif
bentul mau tukar cara stop impor kendara bbm semua kecuali,negatif
lo tutup   jual bbm banyak   beli,negatif
masalah utama indonesia kurang infrastruktur daya kalaupun jadi alih ev malah kewalahan daya pln tingkat daya pln guna bara sama tingkat emisi,negatif
gimana mau laku wong harga ev indonesia luar biasa mahal insentif ful subsidi pajak ev ckd   ngebuat wuling air ev harga negara   jtan sini   ful subsidi jual jt biasa wuling jual harga value for money padahal ev   bilang wuling larang jual terlalu murah menganggu market lcgc,positif
nmbah macet mahal,positif
harga mahal jarak tempuh dekat bengkel susah,negatif
pln siap beli wuling ev fast charge sekarang fast charger bengkalai pln beri daya extra jangan teman minta extra kata pln quota penuh percuma subsidi pln beri anggar luas jaring distribusi,positif
main anak cocok jarak pendek misal komplek kantor rumah pusat belanja lama lapang main golf batere bukan sumber energi energi batere habis isi pakai energi apa batubara bahan bakar minyak timbul carbon   ganti bahanbakarnya,negatif
salah satu   mahal,negatif
kata siape   laku     inden buat beli hyundai,negatif
  masuk tempat bakal cuma pajang ni soal insfratruktur buat,negatif
jual ikut pake siasat jual bbm   laku tiap taun produk baru spek tambah baru harga baru lebih mahal awal gausah   rangin spek cuan or strategi jual   maksimal ful konsep gabakal laku   minat sih mgkn ntr or tahun     beli   dapet   ful konsep inovasi baru masa depan kendara drpd  sekarang  awal spek sampah   suka pake alphard   btw,positif
  kendara bensin jarak tempuh lebih pendek contoh   guna vario  tahun  isi bensin liter kadang cuman tempuh an km padahal   tipe orang tangan latih   gitu isi pertamax mana biaya transportasi mahal banding motor tempuh jarak rupa biaya lebih murah,positif
harga juta mau laku keras   ngotak       punya blm sanggup mau beli juta dapet sigra bahkan dapet   beli   versi paling bawah juta harga beli tunai   kredit oloh m lebih tembus  ,positif
  jual mocin trust issue buat  orang  indo,negatif
  kira jabat sering pura pura miskin dulu baru tau sebab   mau ngerasain miskin   kasih tau opini     mahal ukur murah batas kota   muat banyak orang tipikal orang indonesia keluarga makin banyak bangku makin laku lebih bagasi makin kecil makin sepi minat  biaya   pake bbm biaya   murah beberapa orang atas bilang indonesia murah banding negara tetangga logika tinggal indonesia bukan negara nyata random warga mahal arti warga indonesia harga lumayan mahal pandang banyak warga kpd pln suram suka mainin harga harga sama daya harga kurang  suku cadang warga suka murah suku cadang mahal pasar makin sempit  daya tahan warga suka tahan banting maksud sini bukan tabrak kebal bawa lintas daerah pulau kuat ama nama jalan batu berlobang lain contoh kek viral kemarin lewat jalan lampung     yakin bakal tahun sampe tahun keluarga rantau jauh kampung aceh kerja papua   masuk akal beli daya tahan lebih lemah kaleng bensin komponen utama mesin rusak harga ganti hampir harga beli baru  tempat charging banyak pikir tempat cas susah temu nyata iya mungkin nama pom cuman kota besar   geser dikit pinggir mungkin   susah temu   warga   bego bego pajak murah tetap   pajak lain warga sering dibegoin   mungkin dibegoin terus pake trik sama lagi harga pajak   permanen sama ganti presiden ganti harga pajak,negatif
coba dong jual harga jt otr laku keras  ,positif
si luar negri obral indonesia subsidi negara padahal moldoko luhut   ngebayangin untung besrar,negatif
infrastruktur pada charging station daerah sedikit,negatif
sebenernya ev awal cipta sampe hari banyak kendala     ujung kok sampe kalah sama icev terus sumber pake lama apa green energy lha wong sumber   pake batu bara,negatif
si muldoko bangkrut,negatif
bangun harus sektor transportasi kereta umum rakyat   pusing mikir cicil tiap bulan,negatif
baterai harga mahal usia pakai baterai   habis beli harga mahal,positif
  punya paham beli     beli terus tinggal pakai handphone awat servis rutinitas charging station   sedikit,positif
pertama mahal jauh atas bbm   uji awet sampe puluh tahun bbm bukti,negatif
perintah   dpt cuan rakyat   sengsara perintah angkut   ganti angkut  jangan  desak masyarakat suruh beli,negatif
tambah pribadi arti tambah macet jalan raya,positif
  paling  benar  lebih butuh masyarakat transportasi umum layak utama kereta bukan percuma   gembar gembor sumber sendiri   pakai sumber daya ramah lingkung baru bara tingkat polusi jakarta tetap tinggi fokus alih guna bahan bakar fosil guna pikir aspek lain sendiri sepenuh atas solusi macet bagai kota besar indonesia waktu cek harga harga   affordable buat orang banyak besar ratus juta walaupun subsidi bicara soal infrastruktur dukung lain spklu jumlah batas masalah lain kait transportasi umum layak ramah lingkung utama kereta kemenperin justru hambat ada impor krl bekas jepang alas tkdn jadi shortage jumlah armada krl operasi jabodetabek jogja solo mau tambah jalur krl bandung jalan krl dapat kurang jadwal jam tentu rangkai krl dulu kereta sekarang lebih banyak guna kereta bahkan jam sibuk lanjut akibat tumpu tumpang stasiun krl jadi makin penuh lanjut akibat ketidakpuasan guna layan jasa transportasi krl terus sini inka selaku bumn bidang industri kereta api masalah lain inka sanggup produksi krl sesuai spesifikasi tetap sesuai kuantitas bagaimana butuh kai bicara masalah kualitas hasil akhir produk inka dapat pabrik baru banyuwangi madiun ada pmn inka tahun harap inka maksimal rnd produksi kereta kualitas produk jadi lebih baik umum lebih dukung dorong guna transportasi umum masuk industri dukung ketimbang kendara walaupun dua sama sama beri lapang kerja efek jangka panjang seluruh lebih baik perintah fokus transportasi umum,negatif
kendara bukan solusi bukan tingkat transportasi umum malah tambah macet   mungkin orang punya kendara   punya kendara bensin,positif
  beli tengah atas banyak masyarakat tengah bawah motor dealernya   terasebar kota besar   daerah mungkin difikirkan beli,negatif
melunjak pln diam tempat bakal naik naik naik menrurut sering naik biaya,positif
sekarang minat tak laku indonesia pangku tangan luar negeri merencanakal besar ubah energi baru kendara bbm kendara sangat mungkin bila rakyat indonesia tiba giur buat asing tsb isu kaji dalam,positif
kendara cuma penting jabat hayo siapa milik saham baterai,negatif
  beli toyota transmover,negatif
lapang   tempat charging jarang mana masyarakat mau,positif
tri tambah kaya bkn rakyat,positif
lebih baik   bau laku   transportasi umum   tanggung perintah   wilayah kota,negatif
model  kok  aneh   sedap pandang haha janat   beli  kok  maksa rakyat beli,positif
mau laku mobol utama muldoko jual semua kenderaanmu ganti dg   berbahab bakar jokowi tri lain baru contoh bukan munafiq aamiin,negatif
    duga brg ggk akn laku ngapain  orang  pake   ribet   bbm gampag beli kecuali bbm sudh lagka,negatif
ev bom layak sekarang segi harga peroformanya jauh mending push   bahan bakar biofuel   bahan bakar tumbuh baru fokus ev gapapa buat regulasi baru kayak eropa kendara baru   euro atas semua kendara baru   hybrid,negatif
rakyat mau kerja gaji umr loker limpah ruah baru mampu beli jujur banyak sekali korban phk anggur,negatif
imho alas kurang emisi sesat lama pln pakai indonesia mayoritas hasil bakar batu bara gas cuman plta potensial air data coba cek   percaya alih bensin   signifikan kurang emisi bisnis satu bisnis lain indonesia lebih   serap padahal lanjur kontrak besar sama punya tambang batu bara mau bensin apa batu bara sama lama transportasi massal susah   baik   niat beneran mau rangin emisi,negatif
kayak hidrogen lebih pas buat kendara masa depan deh tinggal isi hidrogen kaya isi bensin puter kunci terus jalan   perlu nunggu ngecharger lama,negatif
mau ramah lingkung kurang pakai kendara pribadi mau sedikit tampar rangin produksi impor kendara,positif
darimaana duit,netral
beneran mulai   laku kok   malah makin  lihat  ev kek gin mulai banyak jkt bandung sby ama yogya mulai jamur,positif
sekali ngecharge   berapa lama coba   buru or jalan jauh tiba lowbat gimana coba fungsional sangat lemah banding bbm,negatif
gimana mau kembang pln pake token,positif
mudah ferguso paling ev,positif
cocok indonesia indonesia butuh hybrid evaluasi sistem paja kendara berat hybrid,negatif
batre masa pakai cuma beberapa tahun trus beli batre baru   harga langit,negatif
listtik tak aman   baterai mudah bakar jd masalah teknologi baterai blm matang,negatif
om t sama supra fit ngk om serius neh,positif
 benar  jg kritakan anirs,negatif
gagal maning gagal maning,negatif
model   kurang tarik isi daya   ribet lama,negatif
tempat charger rata jelas   lalu   tiba mati jalan   gmna donk perintah begok  semua ,negatif
  lucu klw plng kmpng mogok tol alas abis,negatif
sendiri pilih konversi suzuki carry punya,negatif
lha beda apa ev jg bbm,negatif
harga airev wuling china indonesia jual jt,positif
urus surat surat kendara ribet alas buat masyarakat  malas  halo mana nih dukung pihak samsat baik dishub pajak maupun polri,negatif
minyak bumi mau abis nih,positif
gaji juta umr paksa lesat teknologi alas kurang emisi gas buang padahal bensin solar dl bakal timbun sang kuasa jual pabrik pabrik rakyat paksa pake motor ntar   pake malah naik harga nama miskin sadar,negatif
pasar atur atur pasar jalan alamiah laku pasar arti masyarakat percaya walaupun beri subsidi motor,positif
terlalu mahal harga rakyat bawah   beli,netral
kasihan biarpun goreng banyak reviewer otomotif bahkan ikut beli   ngaruh,negatif
untung pln ujung harga naik blom   fast carger klau cas menit pakai hari mau,positif
bagi dl kpd     indonesia,negatif
kecil harga langit sapa mau beli,positif
kendara bagus angkut umum,netral
kantong rakyat blm cukup,negatif
  sering padam intan malah mau jual llistrik kacau,positif
bukan   laku semua baru jarang   langdung sukses,negatif
minat harga bawah jt itu tampung banyak,positif
masalah buat   batrenya karna batre tiap merek motor beda klw sperti bensin   apa merek motor isi bensin jenis batre    semua  merek motor mudah dlam pngisian ganti,negatif
tarik harga mahal tempat isi baterai enak biasa isi pertamax mana pakai modifikasi mudah,negatif
harga china jt sampe sini dibandrol jt subsidi jt konsumen jt harga china wuling miniev rpjt indonesia jt,positif
pesimis battery lithium limbah bagaimana memngingat olah limbah lithium mudah,positif
mahal rusak repot mogok bingung ha,negatif
  desak penting   sangat penting abai,negatif
perintah tak mampu rubah meski diskon mungkin   baterai universal ganti mana semua kendara jenis apa sama model lebih mudah motor maka baterai sama misal motor batetai kapasitan baterai mudah isi masyarakan bisnis isi baterai tinggal ganti unit baterai,negatif
kondisi ekonomi masyarakat tengah bawah baik baik,positif
supsidi negara produsen cina hebat sekali indonesia,negatif
infrastructur siap siapa jg mau uji coba lebih bagus segala otomatis orang jg pindah,positif
ingin masyarakat banyak angkut umum massal   mudah akses koneksi beberapa daerah wilayah,positif
muldoko nyambi bisnis ciie,positif
wuling ev jt lebih tara pajero sport orang kaya milih pajero ketimbang air ev,netral
  tau produsen   rakyat konoha lebih  orang  miskin kaya artis jabat   beli rumah   nyicil abad boro boro bayar   sulit,negatif
mending   pake diesel sawit,negatif
kendara terlalu mahal kalang duit   mampu beli,negatif
buru hrsnya masuk kesekmen motor kalo mau subsidi trasportasi massal bajay angkot taxi grab gojek jenis bus   blm perlu subsidi,netral
  laku enak mesin,positif
bukan   laku mobilitas batas tambah ngecas pake waktu beda sama bensin ngisi langsung gas,negatif
bawah jt rakyat kelas tengah bawah beli atas aneh rakyat butuh kerja punya hasil baru beli,negatif
harga mahal kualitas   kuat guna mesin isi baterai lama stasiun isi indonesia gimana mau laku,negatif
subsidi,netral
mau laris manis buat bakar pungsi tenaga surya minyak bensin lebih irit banyak untung masyarakat pertalit tiada,positif
bukan   mau daya beli   kurang drastis tak uang bawah,negatif
karna tempat isi bahan bakar sangat sulit mahal,negatif
bukan dealer salah konsumen wait and se hitung cermat putus beli,negatif
bukan buat indonesia buat apa dbeli ngurusi smk   sanggup mlah ngundang infestor asing,negatif
bahan bakar air kok hilang,negatif
negara   mau rubah   pertama dipikirin jangan jual dulu tempat   buat cas dipikirin dulu dibanyakin dulu tempat jangan dibanyakin mana orang beli susah nyari tempat cas,negatif
suara reporter  kok  ilang,negatif
coba kaya bensin isi cepat menit isi kaya spbu bensin harga kaya bensin mampu angkut kaya bensin   usah banyak teori kosong laku geser bensin  orang  lebih harga waktu kescepatan simpel daya,negatif
isi daya daerah,negatif
rakyat mana sih   beli kendara cuma rakyat banyak blm mampu boro boro,negatif
dapat harga mahal batre kurang tahan tempat cas kota besar produksi bentuk sedan mau buat toyota innova,positif
prioritas transportasi umum,positif
entu masalah harga baterynya   nyaris paruh harga masyarakat kwatir satu waktu masa pakai batery habis sangat mahal berat milik ev,positif
harus ev armada transportasi umum   sih,negatif
jual paksa harga jual mahal subsidi perintah kwalitas uji suku cadang kendara   kok curiga subsidi apa benar beli kendara,negatif
mana laris jual harga mahal sulit lapang kerja makan kurang kok beli,positif
hybrid kunci,positif
strategi jls salah   bikin strategi perang mungkin jago   strategi dagang   jago   mau laku rubah budaya masyarakat indonesia   orang indonesia   mau beli kendara jual     harga jatuh   hampir th dunia otomotif jd tahu budaya orang indonesia contoh knp suzuki kurang laku   harga jual jatuh coba   honda toyota contoh   avanza sama xenia     harga xenia lebih murah   knp avanza   laku   pertama harga jual lebih bagus     xenia dua brand toyota   orang lihat semua budaya masyarakat sini lihat kendara bukan   harga     brand harga jual,positif
lebih baik mikirin sarana transportasi umum jangkau jangkau sampe daerah tidack kurang macet mahal kurang fasilitas   maintenance   gimana yha perintah sibuk bangun tol   notabene     banyak banyak   lewat tol makin cuan   punya tol,negatif
  baru buat orang ragu ragu kaya waktu minyak tanah alih gas lpg sekarang gas lpg suruh rubah minyak tanah ogah coba pln buat meter wat besar abonemen murah minat masyarakat cara dukung ekosistem motor,negatif
harga cekik coba jt banyak rakyat toleh,positif
bentuk lucu main,positif
jalan satu satu   harga murah subsidi besar besar laku,positif
generasi esmk baru he,negatif
  itu orang mampu tani minta subsidi pupuk laku,negatif
harga mahal  banget   gimana  mau beli,positif
 sila  angkut umum   pribadi apa beda sama sama menuhin jalan,netral
sangat mahal,negatif
masyarakat   miskin,negatif
bagaimana kenderaan elektrik indonesia nak laku pusat changer   cukup jalan raya buruk apa kuasa beli rata rakyat indonesia rendah walaupun duduk ramai,negatif
  jelas harga beli token swap motor sama harga beli bbm sama     boong apalgi ken mayoritas orang indonesia pergi jauh cepet   buat cuman kerja sih,positif
puas   laku,positif
terlalu kecil per sisa bahan,negatif
sekali cas sampe surabaya   beli,negatif
bukan   laku harga   mahal,positif
jelas mahal charging lama jelajah pendek dpminan no,negatif
perlu subsidi tiket kai,positif
lama video buat inti kendraan bensin lebih murah harga beli,positif
pindah polusi udara kota pindah kawasan pltu   hasil polusi lebih parah makin besar guna ev makin besar minta daya makin banyak batubara   bakar,negatif
bagaimana laku lebih cuma irit irit sangat giur kaum ekonomi bawah ironis kendara hargae atas jt bahkan milyar nyata punya uanga atas juta bahkan milyar terlalu pikir irit pikir gengsi status kaya mana mungkim mau,negatif
bantu pajak kokuntuk menuhin jalan raya bikin macet kocag transportasi umum banyakin aduh ampun investor akal sehat ilang,negatif
anggap   beli cashnya habis tengah jalang terus   mau ngisi cashnya numpang rumah orang mana   tinggal desa,positif
jangan terlalu ekor luar negeri hidup akan dikte luar buat atur sengsara rakyat pln bangun mahal mau pensiun dini beli mahal pajak mahal mau batas jalan ganjil genap pajak progressif terus mau apa,negatif
    beli harga tinggi dulu kira juta  lebih  baik beli avanza bekas harga juta,positif
akar masalah muahal,negatif
kendara   evektif banyak minus repot   praktis chargernya lama mending kendara bbm isi   lama,negatif
ingin rakyat kurang phk anggur pusing  lihat  perintah dagang terus terus dagang tv digital dagang tiket motogp dagang,negatif
tempat charger banyak spbu mungkin banyak   beli,negatif
inti mahal   harga puluh ribu   jual segitu laku cepat,positif
larang jalan protokol thamrin sudirman e e motor,negatif
fasilitas cas   banyak orang mikir mau cas   bawa jalan,negatif
rakyat sadar kalian mafia kapitalis   bikin ekonomi naik turun se enak perintah hampir mampu melmdungi rakyat kapitalis mungkin kerjasama perintah serius tangan indonesia kiblat jepang,negatif
ujung ujung bisnis muldoeko louehut bisnar rakyat tak mau aspek bisnis produk jga sesuai   pasar,positif
wakil ketua mti malah paksa hendak jalan bayar pecat   orang   rasa rakyat lebih golong doank mikirnya dagang laku nyuruh pindah   mikir infrastuktur cepat charging kualitas barang tahan   cuma malakin orang preman,negatif
 batrerai   awet terus mahal paling tahun ganti,positif
mau laku serta dalam paket jual set solar cel   hasil daya wat motor   set solar cel wat,positif
maksa rakyat pake ev terap dulu perintah   lucu rakyat paksa pake pimpin naik mercy rakus bensin,negatif
tunggu kendara jepang     tenaga hidrogen,positif
rakyat   suka luhut ngotot bapak bisnis,positif
stop imfort tektil garment china tingkat produk lokal negri tingkat dapat,positif
  dulu ganti soal kurang yakin sama generasi awal,negatif
harus subsidi orang   kena phk mana bangkit cari kerja susah   gampang pabrik   gulung tikar jangan subsidi orag     lebih duit pake jangan tutup mata korban phk mau makan apa keluarga coba pikir,negatif
bagus jng beli kendara eropa amerika     laku indonesia stres tri   punya pabrikan pegang atpm si ketua ksp tau apa mbl jng beli mending duit simpan   non   kendara umum dukung,negatif
wajar sepi harga murah jt   laku juta baru tarik,positif
terlalu mahal,negatif
harus produksi kendara bahan bakar kurang benar minim produsi produsen kendara dorong alih kendara   genjot produksi mau mau konsumen alih kendara,negatif
sama awal muncul motor matic dlu sangat sepi minat awam masyarakat,netral
mbok dicontohin dulu coba ganti dulu semua kendara dinas gitu,negatif
stop produksi motor   pke bbm laku n motor,netral
subsidi alat tani harap timbang,netral
mahaal masyarakat cari   baris mampu beli harga bawah jt an,negatif
cipta angkut umum rata tepat waktu kok malah gala beli,negatif
bukan   laku jual subsidi ribet banyak syarat sarat,negatif
indonesia sering ujan sama sering banjir gimana bahaya rusak langsung apa kendara,positif
jalan banyak rusak kek mana mau maka kendara,positif
isi daya pom aki msh minim bengkel msh   hitung jari masyarakat jg takut jeba hjn  gimana  aph   mogok butuh waktu   saing dg konvensional,negatif
  jelas tambah macet mana,positif
negara ikut bisnis,netral
lama sumber pltu pltd percuma pakai pindah polusi,negatif
jga tetap dunia paksa terima nyata stop produksi bbm orang paksa bbm   produksi,negatif
gimana mau laku jual cuma buat  orang  elit   beli kola   tinggi  orang  elit   butuh kendara   jual a lambung,positif
sih logika   kampanye dekarbonisasi padahal dominan hasil pltu cemar pindah jalan raya area pltu,netral
harus laris   subsidi perintah beberapa timbang sih harga jauh lebih mahal kendara bbm   ukur   compact orang indonesia lebih suka   muat banyak pergi sama keluarga layan terminal charger   pada kondisi medan jalan banyak jalan indonesia kurang mulus tanjak   terjal mampu libas tanjak   tumpang penuh kota baru beberapa   punya rata     punya puluh,negatif
siapa sih pidato ngomongnya  putar   putar ,negatif
 orang  ngomong mau si moeldogkhok,positif
penting bukan woi lapang kerja warga negara lebih penting,positif
aduuh jauh ev bajaj qute   buat antar jemput anak sekolah harga dimurahin jangan dimahalin murah irit bbm subsidi bbm hemat,negatif
jangan mau beli naik  ingat  kasus dulu minyak tanah gas dulu gas murah isi ful sekarang gas mahal isi   lebih tengah,negatif
buka   laku duit   jamn skrang buat   keluarga   penting pake   ckp,positif
mending uang buat subsidi bbm subsidi buat oligarki,positif
masalah finance karna finance rata punya brand japan,negatif
makin panas makin mantap maknyus,positif
harga masalah harga murah laku,positif
harga mahal bahan bakar biasa,negatif
bodoh beli ngapain perintah kasih diskon nambah utang negara,negatif
tenang semua waktu lihat tahun yakin motor gila masyarat indonesia   makin makmur sadar lingkung sehat bersih generasi datang   lebih baik,positif
subsidi siapa energi sumber energi fosil sama bohong,negatif
ane mau lmvp harga lcgc konsumsi bbm supra x fi    ,positif
yuks gais alih enak tinggal colok colok   kaya non mau minumin mulu,positif
eliteglobal main mahal entah berapa tahun datang,negatif
teknologi baru perlu banyak sempurna,positif
subsisi ev buat orang mampu masyarakat kecil gx dapet apa mending transportasi masal jalan kaki sepeda   kembang banyak bikin macet kena macet batre habis   end boros pt inca ngebet kayak sampe minta   non listik bayar alir vulusnya gimana  jangan  panggil kpk,negatif
ogah pake kyk main,negatif
maksa  benar  perintah maksa  benar  minta rakyat beli rakyat tanya durabillity karna tahun an   exsis bom rakyat indonesia butuh bukti jelas kendara bom harga batrenya klw rusak harga baru buat apa beli batrenya klw rusak mau buang   sanggup beli batre trus mau tarok hancurin gitu   bom lama youtube terlsa rusak bantre harga batre harga telsa baru,negatif
  gin  gimana  subsidi bensin cabut alih smw subsidi motor angkut luarkota sperti bus tranportasi antar kota baik murah inprastruktur serius jd jlm kota pake   pergi jauh pake trnportasi murah,negatif
supsidi buat masyarakat kecil masyarakat kecil beli buat usaha mansyarakat kecil kayak jenis keluarga program buat masyarakat kecil apa orang duit buat masyarakat kecil lebih baik buat transportasi umum lebih pada murah si   cuma ibu kota   si ken kabupaten akses kereta api,negatif
  geber geber   sih ,netral
perintah apa isi dominasi bodoh gimana   mau dorong kendara harus bikin infrastruktur dulu ngapain subsidi beli kendara   guna masyarakat   punya ingin gas   usah ngajarin cara belanja pake subsidi an infrastruktur isi bahan bakar   semua sederhana   apa instan waktu ngisi bahan bakar minyak tolong indonesia negara luas pikir kaya singapura habis dorong sampe stasiun isi bahan bakar deket masyarakat berapa berapa luas negara woy negara berapa kali mikirlah sederhana   perintah   usah mikir muluk muluk ngajarin orang gimana cara belanja gaji cuma umr cukup sekolahin anak sarjana pake dorong subsidi   make sense cerdas dikit nape,negatif
krna dunia alami krisis,negatif
beri power of service masuk stasiun cargher rumah garansi pada utama baterai motor kendara pajak naik mungkin persen convert evisien power garansi harga pilih pilih kendara utama bangun kabupaten camat mungkin kembang atas pln khusus green energi pasang plts mudah murah cepat garansi service center cepat mudah murah ingat barang mati hidup bahan bakar bbm baik bbm official pertamina negara subsidi bbm kota bahkan ecer tiap desa tetap sehat service official kota bahkan teknisi umkm masyarakat mana masuk kota bahkan desa desa charger stasiun mungkin pertamina charger merk negara luas tempat istirahat private pln merk milik negara sedia bangun sumber baru plts dl baik dl okke indonesia material alam nikel no dunia indonesia negara baterai murah per kapasiti dunia level tentu indonesia material produk dl daya baterai charger center minimal tiap pertamina few sedikit bangun baik pln tunjuk few sedikit simpul priode step kapan sektor lain laksana da bismillah moga go green energy baru indonesia cepat capai mungkin tahun depan,negatif
kendala salam   sepi minat   laku subsidi   tetap   laku,positif
banyak   malah mesin hidrogen lawan berat ev,negatif
jt model kayak becak kasih body mending buat beli rumah om,negatif
mending ontel jtaan,negatif
upah warga jangan sama upah si menteri jangkau   menteri ucap jangkau warga jelas beda rasa,negatif
bikin bensin langka   ser tar laku,negatif
maslahnya kalah saing sama bbm subsidi,negatif
pabrik bahan minyak terus produksi blm sedia segala perlu   butuh sebut mudah  jangan  harap laku masyarakat,negatif
jujur sangat bahaya buat guna jalan kaki kadang mau belok hampir ktabrak karna kendara listik   suara,positif
tau apa muldogdog tau mo rebut demokrat doank anis gagal nyampres,negatif
rakyat kok bisnisin,netral
laku obral  ,negatif
inti waktu cas jarak tempuh  ,netral
  colok rumah naikin daya,positif
utang kalian semua utak udang percuma kalian parlemen ngurus negara tak becus isi utak kalian korup tak darinitu alas jah gera rak yat luhut moldoko kalian dua tak sengaja     meng hancur bang sa,negatif
mau fokus kendara fokus dulu bangun tempat cas banyak titik contoh spbu rest area rumah makan dl,positif
wacana media harga murah rame beli,netral
butuh motor fast charging charge menit jarak km harga jt garansi baterai th kaya gitu rasa bakal rame   alih,negatif
ini bijak modus infrastructure mbl blum malah ksh subsidi   beli mbl  orang  kaya kok subsidi blm tagih naik   untung usaha   jg kuasa,negatif
harga mahal   kecil ev,positif
  bakal laku soal batrainya mahal   murah   rp juta   harga juta,positif
pusing pikir healing zumar tour,negatif
pribadi sih motor sangat bahaya suara mesin knalpot jalan belok anggap   kendara malah timbul crash   suara oke sebut klakson seperti   semua orang reflek   belok blind spot pencet klakson,negatif
transisi dulu dri bbm konvensional hybrid lengkap fasilitas dl baru deh,negatif
dapat rakyat hilang banyak phk   usah beli barang baru second oke so mau cantik apa   bakal laku jabat jg   make kocak omong   sesuai nyata ,negatif
alhamdulillah bgtu mahal harga   mayoritas beli  orang    kalang atas msh subsidi negara bgtu jomplang masyarakat   krg punya,positif
masalah cuman satu mahal,negatif
sbg second car pakai air ev   irit jt sbulan   jalan km  bulan  komparasi   mbl km l pakai pertamax puas  benar    mikir bensin,negatif
tidak praktis harga   mahal lengkap dukung after sales produk sebab utama kendara sepi minat contoh   paling sering keluh ialah sifat buah kendara   butuh waktu   relatif lama   isi tenaga tmpt fast charging sedia tetap butuh waktu minimal satu jam   dukung karakter mobile buah kendara charging rumah butuh waktu jauh  lebih  lama jam akhir masyarakat rasa kendara ikut mobilitas tinggi guna   harga   relatif mahal   buah kendara mungil wuling banyak jenis   patok harga   sesuai   kapasitas kendara tsb konsumen paksa mengguinakan kendara tambah,positif
kondisi jalan indonesia mayoritas buruk gelombang buat cepat bobrok baterai suku cadang mahal bikin bangkrut guna,negatif
mul kasih jelas blepot ajak debat staf     maju,positif
diskon my as harga loh mahal,positif
  bikin berita kok kayak   profesional pake kata pandang mulu pake data faktual data jual motor kuartal   naik lipat banding periode sama tahun lalu padahal beri subsidi lho lihat   loncat jual kuartal jangan langsung banding ama jual motor konvensional bahan bakar bbm ni reporter mabok jelas kalah teknologi baru relatif mahal infrastruktur dukung minim model tentu waktu tunggu lama cnbc plis deh bikin berita   bobot dikit,negatif
subsidi kendara pilah pilih ae kok kakean cangkem deloken musuh politik subsidi kendara jarene nikmat orang kaya lha wong miskin ae gaiso tuku ogh masio subsidi kok sik meksoi subsidi khusus terima kur ruwet ngerti a,negatif
bila mulai sekarang kapan,positif
ev proyek sapi perah makanya dipaksain  banget ,negatif
dibilangin ulang bangun bangkit bahan bakar sampah pulau reklamasi lebih efektif lebih manfaat sekaligus solusi limbah sampah puluh tahun depan manfaat nikmat seluruh rakyat banyak bukan orang kaya   mampu beli,positif
banyak faktor kendara kurang minat masyarakat punya kendara sejak paska covid landa masyarakat lebih fokus finansial ketimbang barang mewah aman selamat kendara tanya lebih edar beberapa video jadi kendara bakar sulit padam meski charge rumah masalah biaya tanggung,positif
harga mas terlalu mahal,positif
infrastruktur kendara   rata  gimana  masyarakat mau ahli,positif
bijak situ lahan koruptor banyak korup terus jabat anj  ,negatif
banyak cerita minta subsidi apa untung konsumen   beli muldok,negatif
subsidi kenytaanya bukan konsumen dealer pabrikanya motor   subsidi kurang batrenya produsen,negatif
ev   laku jual dikit harga dimainin jual aji mumpung masa barang harga jt luar negeri sini jual jt,positif
mending banyak transportasi publik,negatif
hemat hemat benar praktis praktis sungguh,positif
rakyat mau beli energi   mau energi nuklir kaya kapal selam nuklir tahan lama rakyat pas pas paksa perang dunia shinobi   suka paksa apa   guna indonesia karna indonesia luas jalan rata   rusak   korupsi banyak desa enak ngomong karna hidup kota coba desa   jalan rusak parah hayo lo hayo lo   paling penting ekonomi negara naikin dulu banyakin lapang kerja hukum korupsi tegas baik infrastruktur negara malah morotin uang rakyat bikin sengsara,negatif
bukan semua orang tau baterai accu segala jenis baterai masalah kemudian hari sering soak usia lama telat cash btrai mampu tampung arus jadi cepat drop,negatif
mulai   dulu transportasi umum kayak bis kota bikin elektrik biasa dulu masyarakat,negatif
  laku perhati perintah karna tiongkok teken kontrak tambang nikel dl indo rugi makanya  sekarang  rakyat   teken beli,negatif
mending beli beras minyak,negatif
iya subsidi nikmatin  tetap  orang duit masyarakat kecil boro mbli buat mikirin besok makan apa ajah   pusing,negatif
alas sederhana harga ne msh mahal batre   ganti th pdh mahal  orang  indonesia  lebih  suka   murah   awet,positif
kenal produk baru banyak tantang,netral
  cocok buat jalan indonesia   naik curam turun curam nikung curam,positif
ekonomi sulit harga langit,positif
subsidi penting usaha moldoko n luhut,negatif
harga mahal juta kayak lcgc sih,positif
jls la   mnyentuh rakyat kecil indonesia bos   kaya makin kaya   miskin makin miskin   korup makin korup uura,negatif
harga mahal jelas,positif
pertama harga mahal dua jarak jelajah lebih jauh   konvensional tiga proses charging lama empat charging station   fast charger batas lima orang indonesia mikirnya batrei ngedrop repot sana sini banyak,negatif
korupsi bts,negatif
 sila  nikmat motor bensin,netral
